Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
8020,Respiratory,COPD,a105519017,Chronic bronchitis,L1:Respiratory_L2:COPD,
8021,Respiratory,COPD,a113497011,Centrilobular emphysema,L1:Respiratory_L2:COPD,
8022,Respiratory,COPD,a116128010,Broncholithiasis,L1:Respiratory_L2:COPD,
8023,Respiratory,COPD,a11928221000006113,Education about chronic obstructive pulmonary disease,L1:Respiratory_L2:COPD,
8024,Respiratory,COPD,a11929131000006112,Clinical chronic obstructive pulmonary disease questionnaire,L1:Respiratory_L2:COPD,
8025,Respiratory,COPD,a1222334016,Other specified chronic obstructive pulmonary disease,L1:Respiratory_L2:COPD,
8026,Respiratory,COPD,a1222335015,Chronic obstructive pulmonary disease NOS,L1:Respiratory_L2:COPD,
8027,Respiratory,COPD,a1230190015,MacLeod's unilateral emphysema,L1:Respiratory_L2:COPD,
8028,Respiratory,COPD,a123588010,Mucopurulent chronic bronchitis,L1:Respiratory_L2:COPD,
8029,Respiratory,COPD,a12623621000006118,Excepted from COPD (chronic obstructive pulmonary disease) quality indicators - service unavailable,L1:Respiratory_L2:COPD,
8030,Respiratory,COPD,a12626281000006113,QOF (Quality and Outcomes Framework) chronic obstructive pulmonary disease quality indicator-related care invitation,L1:Respiratory_L2:COPD,
8031,Respiratory,COPD,a12738571000006116,Use of digital self-management tool for COPD (chronic obstructive pulmonary disease),L1:Respiratory_L2:COPD,
8032,Respiratory,COPD,a130626012,Cannabinosis,L1:Respiratory_L2:COPD,
8033,Respiratory,COPD,a13306011,Chronic tracheitis,L1:Respiratory_L2:COPD,
8034,Respiratory,COPD,a13651461000006115,Chronic bronchitis co-occurrent with wheeze,L1:Respiratory_L2:COPD,
8035,Respiratory,COPD,a138105010,Chronic laryngotracheitis,L1:Respiratory_L2:COPD,
8036,Respiratory,COPD,a139011000000112,Exception reporting - COPD quality indicators,L1:Respiratory_L2:COPD,
8037,Respiratory,COPD,a139131000000117,Excepted from COPD quality indicators - patient unsuitable,L1:Respiratory_L2:COPD,
8038,Respiratory,COPD,a139979010,Fetid chronic bronchitis,L1:Respiratory_L2:COPD,
8039,Respiratory,COPD,a14161371000006110,Emphysema of left lung,L1:Respiratory_L2:COPD,
8040,Respiratory,COPD,a14161381000006113,Emphysema of right lung,L1:Respiratory_L2:COPD,
8041,Respiratory,COPD,a1484924013,Chronic obstructive pulmonary disease monitoring,L1:Respiratory_L2:COPD,
8042,Respiratory,COPD,a1484971019,Chronic obstructive pulmonary disease monitoring due,L1:Respiratory_L2:COPD,
8043,Respiratory,COPD,a1488423019,Chronic obstructive pulmonary disease follow-up,L1:Respiratory_L2:COPD,
8044,Respiratory,COPD,a1488424013,Chronic obstructive pulmonary disease annual review,L1:Respiratory_L2:COPD,
8045,Respiratory,COPD,a1488856013,Chronic obstructive pulmonary disease leaflet given,L1:Respiratory_L2:COPD,
8046,Respiratory,COPD,a1494601017,COAD follow-up,L1:Respiratory_L2:COPD,
8047,Respiratory,COPD,a1573111000000115,Issue of chronic obstructive pulmonary disease rescue pack,L1:Respiratory_L2:COPD,
8048,Respiratory,COPD,a161781000006116,Sawyer - Jones syndrome,L1:Respiratory_L2:COPD,
8049,Respiratory,COPD,a1683181000000112,Chronic obstructive pulmonary disease 3 monthly review,L1:Respiratory_L2:COPD,
8050,Respiratory,COPD,a1683221000000119,Chronic obstructive pulmonary disease 6 monthly review,L1:Respiratory_L2:COPD,
8051,Respiratory,COPD,a1699821000006113,At risk of chronic obstructive pulmonary disease exacerbation,L1:Respiratory_L2:COPD,
8052,Respiratory,COPD,a1704521000006118,Chronic obstructive pulmonary disease enhanced services administration,L1:Respiratory_L2:COPD,
8053,Respiratory,COPD,a1704531000006115,Chronic obstructive pulmonary disease patient unsuitable for pulmonary rehabilitation,L1:Respiratory_L2:COPD,
8054,Respiratory,COPD,a1704541000006113,COPD patient unsuitable for pulmonary rehabilitation,L1:Respiratory_L2:COPD,
8055,Respiratory,COPD,a1704551000006110,Referred for COPD structured smoking assessment,L1:Respiratory_L2:COPD,
8056,Respiratory,COPD,a1704561000006112,Referred for chronic obstructive pulmonary disease structured smoking assessment,L1:Respiratory_L2:COPD,
8057,Respiratory,COPD,a1704571000006117,Chronic obstructive pulmonary disease structured smoking assessment declined,L1:Respiratory_L2:COPD,
8058,Respiratory,COPD,a1704581000006119,COPD structured smoking assessment declined,L1:Respiratory_L2:COPD,
8059,Respiratory,COPD,a1765681000000110,History of chronic obstructive pulmonary disease,L1:Respiratory_L2:COPD,
8060,Respiratory,COPD,a1772931000006114,Desquamative interstitial pneumonia,L1:Respiratory_L2:COPD,
8061,Respiratory,COPD,a1780380013,Chronic obstructive pulmonary disease monitoring by nurse,L1:Respiratory_L2:COPD,
8062,Respiratory,COPD,a1780381012,Chronic obstructive pulmonary disease monitoring by doctor,L1:Respiratory_L2:COPD,
8063,Respiratory,COPD,a1783891000006115,Optimisation of medication for chronic obstructive pulmonary disease,L1:Respiratory_L2:COPD,
8064,Respiratory,COPD,a1784071000006113,Preferred place of care for next exacerbation of chronic obstructive pulmonary disease,L1:Respiratory_L2:COPD,
8065,Respiratory,COPD,a1784371000006111,Referral to chronic obstructive pulmonary disease community nursing team,L1:Respiratory_L2:COPD,
8066,Respiratory,COPD,a1811661000006110,Chronic obstructive pulmonary disease self-management plan agreed,L1:Respiratory_L2:COPD,
8067,Respiratory,COPD,a1811741000006117,Chronic obstructive pulmonary disease self-management plan review,L1:Respiratory_L2:COPD,
8068,Respiratory,COPD,a1813021000006111,Chronic obstructive pulmonary disease rescue pack not indicated,L1:Respiratory_L2:COPD,
8069,Respiratory,COPD,a1813871000006117,On chronic obstructive pulmonary disease supportive care pathway,L1:Respiratory_L2:COPD,
8070,Respiratory,COPD,a1813881000006119,On COPD (chronic obstructive pulmonary disease) supportive care pathway,L1:Respiratory_L2:COPD,
8071,Respiratory,COPD,a183191000006115,Recurrent wheezy bronchitis,L1:Respiratory_L2:COPD,
8072,Respiratory,COPD,a1885981000006112,Chronic obstructive pulmonary disease written self management plan declined,L1:Respiratory_L2:COPD,
8073,Respiratory,COPD,a189761000000117,Chronic obstructive pulmonary disease monitoring first letter,L1:Respiratory_L2:COPD,
8074,Respiratory,COPD,a1904861000006117,Chronic obstructive pulmonary disease management plan declined,L1:Respiratory_L2:COPD,
8075,Respiratory,COPD,a19421011,Interstitial pulmonary emphysema,L1:Respiratory_L2:COPD,
8076,Respiratory,COPD,a1948051000006112,Asthma-chronic obstructive pulmonary disease overlap syndrome,L1:Respiratory_L2:COPD,
8077,Respiratory,COPD,a198471000000111,Chronic obstructive pulmonary disease monitoring second letter,L1:Respiratory_L2:COPD,
8078,Respiratory,COPD,a199481000000116,Chronic obstructive pulmonary disease monitoring third letter,L1:Respiratory_L2:COPD,
8079,Respiratory,COPD,a2010061000006113,Acute non-infective exacerbation of chronic obstructive pulmonary disease,L1:Respiratory_L2:COPD,
8080,Respiratory,COPD,a2152091000000112,Has chronic obstructive pulmonary disease care plan,L1:Respiratory_L2:COPD,
8081,Respiratory,COPD,a2160051010,Emergency hospital admission for chronic obstructive pulmonary disease,L1:Respiratory_L2:COPD,
8082,Respiratory,COPD,a216596014,End stage chronic obstructive airways disease,L1:Respiratory_L2:COPD,
8083,Respiratory,COPD,a2199261000000110,Chronic obstructive pulmonary disease care pathway,L1:Respiratory_L2:COPD,
8084,Respiratory,COPD,a2219551000000113,Seen in chronic obstructive pulmonary disease clinic,L1:Respiratory_L2:COPD,
8085,Respiratory,COPD,a2219861000000114,Chronic obstructive pulmonary disease rescue pack declined,L1:Respiratory_L2:COPD,
8086,Respiratory,COPD,a2240631000000119,Eosinophilic bronchitis,L1:Respiratory_L2:COPD,
8087,Respiratory,COPD,a2308511000000113,Shared care chronic obstructive pulmonary disease monitoring,L1:Respiratory_L2:COPD,
8088,Respiratory,COPD,a2423731000000115,Telehealth chronic obstructive pulmonary disease monitoring,L1:Respiratory_L2:COPD,
8089,Respiratory,COPD,a2545391000006116,Cystic-bullous disease of the lung,L1:Respiratory_L2:COPD,
8090,Respiratory,COPD,a269761000006112,Obliterative bronchiolitis due to chemical fumes,L1:Respiratory_L2:COPD,
8091,Respiratory,COPD,a27096010,Giant bullous emphysema,L1:Respiratory_L2:COPD,
8092,Respiratory,COPD,a2716231000006114,Chronic obstructive lung disease,L1:Respiratory_L2:COPD,
8093,Respiratory,COPD,a2716241000006116,Chronic airway obstruction,L1:Respiratory_L2:COPD,
8094,Respiratory,COPD,a2716261000006117,Chronic airflow obstruction,L1:Respiratory_L2:COPD,
8095,Respiratory,COPD,a2716271000006112,CAFL - Chronic airflow limitation,L1:Respiratory_L2:COPD,
8096,Respiratory,COPD,a2716301000006114,Chronic airflow limitation,L1:Respiratory_L2:COPD,
8097,Respiratory,COPD,a2716321000006116,COPD - Chronic obstructive pulmonary disease,L1:Respiratory_L2:COPD,
8098,Respiratory,COPD,a2716341000006111,Chronic airway disease,L1:Respiratory_L2:COPD,
8099,Respiratory,COPD,a2767421000006111,Obstructive emphysema,L1:Respiratory_L2:COPD,
8100,Respiratory,COPD,a285100019,Emphysematous bronchitis,L1:Respiratory_L2:COPD,
8101,Respiratory,COPD,a285104011,Obstructive chronic bronchitis,L1:Respiratory_L2:COPD,
8102,Respiratory,COPD,a2882311000006111,Vanishing lung,L1:Respiratory_L2:COPD,
8103,Respiratory,COPD,a299031000000110,Chronic obstructive pulmonary disease does not disturb sleep,L1:Respiratory_L2:COPD,
8104,Respiratory,COPD,a3011135010,Step down change in chronic obstructive pulmonary disease management plan,L1:Respiratory_L2:COPD,
8105,Respiratory,COPD,a301127010,Obliterating fibrous bronchiolitis,L1:Respiratory_L2:COPD,
8106,Respiratory,COPD,a3013801000006116,Paraseptal emphysema,L1:Respiratory_L2:COPD,
8107,Respiratory,COPD,a3013821000006114,Subpleural emphysema,L1:Respiratory_L2:COPD,
8108,Respiratory,COPD,a301444018,Simple chronic bronchitis NOS,L1:Respiratory_L2:COPD,
8109,Respiratory,COPD,a301448015,Mucopurulent chronic bronchitis NOS,L1:Respiratory_L2:COPD,
8110,Respiratory,COPD,a301450011,Chronic asthmatic bronchitis,L1:Respiratory_L2:COPD,
8111,Respiratory,COPD,a301451010,Chronic wheezy bronchitis,L1:Respiratory_L2:COPD,
8112,Respiratory,COPD,a301453013,Acute exacerbation of chronic obstructive airways disease,L1:Respiratory_L2:COPD,
8113,Respiratory,COPD,a301455018,Obstructive chronic bronchitis NOS,L1:Respiratory_L2:COPD,
8114,Respiratory,COPD,a301456017,Mixed simple and mucopurulent chronic bronchitis,L1:Respiratory_L2:COPD,
8115,Respiratory,COPD,a301457014,Other chronic bronchitis,L1:Respiratory_L2:COPD,
8116,Respiratory,COPD,a301458016,Other chronic bronchitis NOS,L1:Respiratory_L2:COPD,
8117,Respiratory,COPD,a301459012,Chronic bronchitis NOS,L1:Respiratory_L2:COPD,
8118,Respiratory,COPD,a301460019,Chronic bullous emphysema,L1:Respiratory_L2:COPD,
8119,Respiratory,COPD,a301463017,Segmental bullous emphysema,L1:Respiratory_L2:COPD,
8120,Respiratory,COPD,a301464011,Zonal bullous emphysema,L1:Respiratory_L2:COPD,
8121,Respiratory,COPD,a301468014,Chronic bullous emphysema NOS,L1:Respiratory_L2:COPD,
8122,Respiratory,COPD,a301469018,Other emphysema,L1:Respiratory_L2:COPD,
8123,Respiratory,COPD,a301470017,Acute vesicular emphysema,L1:Respiratory_L2:COPD,
8124,Respiratory,COPD,a301477019,Emphysema NOS,L1:Respiratory_L2:COPD,
8125,Respiratory,COPD,a301539010,Other specified chronic obstructive airways disease,L1:Respiratory_L2:COPD,
8126,Respiratory,COPD,a301545019,Chronic obstructive airway disease,L1:Respiratory_L2:COPD,
8127,Respiratory,COPD,a301572010,Chronic emphysema due to chemical fumes,L1:Respiratory_L2:COPD,
8128,Respiratory,COPD,a301835010,[X]Other emphysema,L1:Respiratory_L2:COPD,
8129,Respiratory,COPD,a301836011,[X]Other specified chronic obstructive pulmonary disease,L1:Respiratory_L2:COPD,
8130,Respiratory,COPD,a3145221000006111,Obliterative bronchiolitis,L1:Respiratory_L2:COPD,
8131,Respiratory,COPD,a3228301000006115,Unilateral emphysema,L1:Respiratory_L2:COPD,
8132,Respiratory,COPD,a3228331000006111,Swyer-James syndrome,L1:Respiratory_L2:COPD,
8133,Respiratory,COPD,a3437401000006110,Emphysematous bleb of lung,L1:Respiratory_L2:COPD,
8134,Respiratory,COPD,a3514606010,Protracted bacterial bronchitis,L1:Respiratory_L2:COPD,
8135,Respiratory,COPD,a3517253011,Acute exacerbation of chronic obstructive pulmonary disease care plan,L1:Respiratory_L2:COPD,
8136,Respiratory,COPD,a3589231000006114,Congenital lobar emphysema,L1:Respiratory_L2:COPD,
8137,Respiratory,COPD,a3611791000006110,Centriacinar emphysema,L1:Respiratory_L2:COPD,
8138,Respiratory,COPD,a3764021000006117,Interstitial emphysema of lung,L1:Respiratory_L2:COPD,
8139,Respiratory,COPD,a3873191000006110,Fetid chronic bronchitis,L1:Respiratory_L2:COPD,
8140,Respiratory,COPD,a3921361000006112,Emphysema of lung,L1:Respiratory_L2:COPD,
8141,Respiratory,COPD,a3955621000006112,Catarrhal bronchitis,L1:Respiratory_L2:COPD,
8142,Respiratory,COPD,a396108018,Bullous emphysema with collapse,L1:Respiratory_L2:COPD,
8143,Respiratory,COPD,a396109014,Atrophic (senile) emphysema,L1:Respiratory_L2:COPD,
8144,Respiratory,COPD,a396110016,Other emphysema NOS,L1:Respiratory_L2:COPD,
