Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
8420,Sleep_disorders,insomnia+apnea,a111701012,Middle insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8421,Sleep_disorders,insomnia+apnea,a11639631000006119,Recommendation to use digital cognitive behavioural therapy for insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8422,Sleep_disorders,insomnia+apnea,a11998341000006118,Insomnia Severity Index score,L1:Sleep_disorders_L2:insomnia+apnea,
8423,Sleep_disorders,insomnia+apnea,a1222474014,[D]Insomnia - symptom,L1:Sleep_disorders_L2:insomnia+apnea,
8424,Sleep_disorders,insomnia+apnea,a12621591000006119,Referral for digital cognitive behavioural therapy for insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8425,Sleep_disorders,insomnia+apnea,a1806231000006114,Primary insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8426,Sleep_disorders,insomnia+apnea,a217721000000117,Insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8427,Sleep_disorders,insomnia+apnea,a252935019,Late insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8428,Sleep_disorders,insomnia+apnea,a2562371000006117,Idiopathic insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8429,Sleep_disorders,insomnia+apnea,a295412011,Persistent insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8430,Sleep_disorders,insomnia+apnea,a317034011,Insomnia with sleep apnoea,L1:Sleep_disorders_L2:insomnia+apnea,
8431,Sleep_disorders,insomnia+apnea,a317035012,[D]Insomnia NOS,L1:Sleep_disorders_L2:insomnia+apnea,
8432,Sleep_disorders,insomnia+apnea,a3176551000006111,Insomnia with sleep apnea,L1:Sleep_disorders_L2:insomnia+apnea,
8433,Sleep_disorders,insomnia+apnea,a345377013,Insomnia NOS,L1:Sleep_disorders_L2:insomnia+apnea,
8434,Sleep_disorders,insomnia+apnea,a3590261000006112,Terminal insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8435,Sleep_disorders,insomnia+apnea,a400121000006111,Nonorganic insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8436,Sleep_disorders,insomnia+apnea,a401805019,Transient insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8437,Sleep_disorders,insomnia+apnea,a407067015,Complaining of insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8438,Sleep_disorders,insomnia+apnea,a602651000000115,ISI (Insomnia Severity Index) score,L1:Sleep_disorders_L2:insomnia+apnea,
8439,Sleep_disorders,insomnia+apnea,a7050121000006112,Psychophysiologic insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8440,Sleep_disorders,insomnia+apnea,a772561000006111,Insomnia due to nonorganic sleep disorder,L1:Sleep_disorders_L2:insomnia+apnea,
8441,Sleep_disorders,insomnia+apnea,a7860671000006111,Chronic insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8442,Sleep_disorders,insomnia+apnea,a960621000006117,Insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
8443,Sleep_disorders,insomnia+apnea,a98133013,Initial insomnia,L1:Sleep_disorders_L2:insomnia+apnea,
