Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
8561,Smoking_status,ex_smoker,a1059701000000119,Ex roll-up cigarette smoker,L1:Smoking_status_L2:ex_smoker,
8562,Smoking_status,ex_smoker,a1123951000000110,Ex-smoker annual review - enhanced services administration,L1:Smoking_status_L2:ex_smoker,
8563,Smoking_status,ex_smoker,a1151791000000117,Recently stopped smoking,L1:Smoking_status_L2:ex_smoker,
8564,Smoking_status,ex_smoker,a1154471000000114,Ex-smoker annual review,L1:Smoking_status_L2:ex_smoker,
8565,Smoking_status,ex_smoker,a1484932017,Smoking cessation milestones,L1:Smoking_status_L2:ex_smoker,
8566,Smoking_status,ex_smoker,a1488873010,Smoking free weeks,L1:Smoking_status_L2:ex_smoker,
8567,Smoking_status,ex_smoker,a250363016,Ex-trivial smoker (<1/day),L1:Smoking_status_L2:ex_smoker,
8568,Smoking_status,ex_smoker,a250364010,Ex-light smoker (1-9/day),L1:Smoking_status_L2:ex_smoker,
8569,Smoking_status,ex_smoker,a250365011,Ex-moderate smoker (10-19/day),L1:Smoking_status_L2:ex_smoker,
8570,Smoking_status,ex_smoker,a250366012,Ex-heavy smoker (20-39/day),L1:Smoking_status_L2:ex_smoker,
8571,Smoking_status,ex_smoker,a250367015,Ex-very heavy smoker (40+/day),L1:Smoking_status_L2:ex_smoker,
8572,Smoking_status,ex_smoker,a250371017,Ex-smoker - amount unknown,L1:Smoking_status_L2:ex_smoker,
8573,Smoking_status,ex_smoker,a250373019,Stopped smoking,L1:Smoking_status_L2:ex_smoker,
8574,Smoking_status,ex_smoker,a250385010,Date ceased smoking,L1:Smoking_status_L2:ex_smoker,
8575,Smoking_status,ex_smoker,a418914010,Ex-cigarette smoker,L1:Smoking_status_L2:ex_smoker,
8576,Smoking_status,ex_smoker,a649821000006115,Ex cigar smoker,L1:Smoking_status_L2:ex_smoker,
8577,Smoking_status,ex_smoker,a649821000006115,Ex-cigar smoker,L1:Smoking_status_L2:ex_smoker,
8578,Smoking_status,ex_smoker,a649831000006117,Ex pipe smoker,L1:Smoking_status_L2:ex_smoker,
8579,Smoking_status,ex_smoker,a649841000006110,Ex smoker,L1:Smoking_status_L2:ex_smoker,
8580,Smoking_status,ex_smoker,a649851000006112,Ex- Rolled Tobacco Smoker,L1:Smoking_status_L2:ex_smoker,
8581,Smoking_status,ex_smoker,a649861000006114,Ex-Cigarette Smoker,L1:Smoking_status_L2:ex_smoker,
8582,Smoking_status,ex_smoker,a852121000006114,Smoking cessation-maintain abstinence,L1:Smoking_status_L2:ex_smoker,
8583,Smoking_status,ex_smoker,a853001000006110,Ex-smoker NOS,L1:Smoking_status_L2:ex_smoker,
8584,Smoking_status,ex_smoker,a854051000006112,Ex-pipe smoker,L1:Smoking_status_L2:ex_smoker,
8585,Smoking_status,ex_smoker,a854111000006110,Past smoker,L1:Smoking_status_L2:ex_smoker,
8586,Smoking_status,ex_smoker,a854151000006111,Date stopped smoking,L1:Smoking_status_L2:ex_smoker,
8587,Smoking_status,ex_smoker,a903041000006110,EX-Smoker NOS,L1:Smoking_status_L2:ex_smoker,
8588,Smoking_status,ex_smoker,a904091000006116,Date of last cigarette,L1:Smoking_status_L2:ex_smoker,
