Order,Flag_classifyL1,Flag_classifyL2,MedCodeID,Term,Flag_L1_L2,Notes
8296,Thyroid_disease,Hypothyroidism ,a101171000006116,Thyroid deficiency,L1:Thyroid_disease_L2:Hypothyroidism ,
8297,Thyroid_disease,Hypothyroidism ,a101581000006112,Thyroid insufficiency,L1:Thyroid_disease_L2:Hypothyroidism ,
8298,Thyroid_disease,Hypothyroidism ,a101891000006113,Thyrotoxicosis without mention of goitre or cause no crisis,L1:Thyroid_disease_L2:Hypothyroidism ,
8299,Thyroid_disease,Hypothyroidism ,a101911000006110,"Thyrotoxicosis without mention of goitre, cause with crisis",L1:Thyroid_disease_L2:Hypothyroidism ,
8300,Thyroid_disease,Hypothyroidism ,a102259010,Iatrogenic thyroiditis,L1:Thyroid_disease_L2:Hypothyroidism ,
8301,Thyroid_disease,Hypothyroidism ,a1233040016,Myopathy due to thyrotoxicosis,L1:Thyroid_disease_L2:Hypothyroidism ,
8302,Thyroid_disease,Hypothyroidism ,a123651000006111,Subclinical iodine deficiency hypothyroidism,L1:Thyroid_disease_L2:Hypothyroidism ,
8303,Thyroid_disease,Hypothyroidism ,a136211012,Thyroiditis,L1:Thyroid_disease_L2:Hypothyroidism ,
8304,Thyroid_disease,Hypothyroidism ,a147605012,Riedel's thyroiditis,L1:Thyroid_disease_L2:Hypothyroidism ,
8305,Thyroid_disease,Hypothyroidism ,a150375010,Thyrotoxicosis,L1:Thyroid_disease_L2:Hypothyroidism ,
8306,Thyroid_disease,Hypothyroidism ,a1539151000006110,Secondary hypothyroidism,L1:Thyroid_disease_L2:Hypothyroidism ,
8307,Thyroid_disease,Hypothyroidism ,a1707531000000116,Suspected hypothyroidism,L1:Thyroid_disease_L2:Hypothyroidism ,
8308,Thyroid_disease,Hypothyroidism ,a1757291000006118,Suspected hypothyroidism,L1:Thyroid_disease_L2:Hypothyroidism ,
8309,Thyroid_disease,Hypothyroidism ,a178809013,Acquired hypothyroidism,L1:Thyroid_disease_L2:Hypothyroidism ,
8310,Thyroid_disease,Hypothyroidism ,a1823931000006116,Hypothyroidism confirmed,L1:Thyroid_disease_L2:Hypothyroidism ,
8311,Thyroid_disease,Hypothyroidism ,a208391000006113,Pretibial myxoedema - hypothyroid,L1:Thyroid_disease_L2:Hypothyroidism ,
8312,Thyroid_disease,Hypothyroidism ,a211321000006115,Postinfectious hypothyroidism,L1:Thyroid_disease_L2:Hypothyroidism ,
8313,Thyroid_disease,Hypothyroidism ,a216181000006112,Postablative hypothyroidism,L1:Thyroid_disease_L2:Hypothyroidism ,
8314,Thyroid_disease,Hypothyroidism ,a225971000000116,Hypothyroidism monitoring administration,L1:Thyroid_disease_L2:Hypothyroidism ,
8315,Thyroid_disease,Hypothyroidism ,a23518016,Neonatal thyrotoxicosis,L1:Thyroid_disease_L2:Hypothyroidism ,
8316,Thyroid_disease,Hypothyroidism ,a2474336017,Hypothyroidism clinical management plan,L1:Thyroid_disease_L2:Hypothyroidism ,
8317,Thyroid_disease,Hypothyroidism ,a251588016,H/O: thyrotoxicosis,L1:Thyroid_disease_L2:Hypothyroidism ,
8318,Thyroid_disease,Hypothyroidism ,a251589012,H/O: hypothyroidism,L1:Thyroid_disease_L2:Hypothyroidism ,
8319,Thyroid_disease,Hypothyroidism ,a2533420013,Hypothyroidism monitoring third letter,L1:Thyroid_disease_L2:Hypothyroidism ,
8320,Thyroid_disease,Hypothyroidism ,a2533422017,Hypothyroidism monitoring first letter,L1:Thyroid_disease_L2:Hypothyroidism ,
8321,Thyroid_disease,Hypothyroidism ,a2533534011,Hypothyroidism monitoring second letter,L1:Thyroid_disease_L2:Hypothyroidism ,
8322,Thyroid_disease,Hypothyroidism ,a2536050019,Post-surgical hypothyroidism,L1:Thyroid_disease_L2:Hypothyroidism ,
8323,Thyroid_disease,Hypothyroidism ,a2548835019,Hypothyroidism monitoring verbal invite,L1:Thyroid_disease_L2:Hypothyroidism ,
8324,Thyroid_disease,Hypothyroidism ,a2693005013,Suspected congenital hypothyroidism,L1:Thyroid_disease_L2:Hypothyroidism ,
8325,Thyroid_disease,Hypothyroidism ,a2694637015,Congenital hypothyroidism not suspected,L1:Thyroid_disease_L2:Hypothyroidism ,
8326,Thyroid_disease,Hypothyroidism ,a2695192017,De Quervain's thyroiditis,L1:Thyroid_disease_L2:Hypothyroidism ,
8327,Thyroid_disease,Hypothyroidism ,a2849751000006113,Hashimoto thyroiditis,L1:Thyroid_disease_L2:Hypothyroidism ,
8328,Thyroid_disease,Hypothyroidism ,a2849831000006114,Hashimoto's thyroiditis,L1:Thyroid_disease_L2:Hypothyroidism ,
8329,Thyroid_disease,Hypothyroidism ,a2856241000006111,T>3< thyrotoxicosis,L1:Thyroid_disease_L2:Hypothyroidism ,
8330,Thyroid_disease,Hypothyroidism ,a292355019,Thyrotoxicosis from ectopic thyroid nodule with no crisis,L1:Thyroid_disease_L2:Hypothyroidism ,
8331,Thyroid_disease,Hypothyroidism ,a292357010,Thyrotoxicosis from ectopic thyroid nodule NOS,L1:Thyroid_disease_L2:Hypothyroidism ,
8332,Thyroid_disease,Hypothyroidism ,a292361016,Thyrotoxicosis of other specified origin with no crisis,L1:Thyroid_disease_L2:Hypothyroidism ,
